ANO,GRANDE REGIÃO,UF,PRODUTO,CÓDIGO IBGE,MUNICÍPIO,VENDAS
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200013,ACRELANDIA,2513900
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200054,ASSIS BRASIL,3357000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200104,BRASILEIA,2484000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200138,BUJARI,1028300
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200179,CAPIXABA,2758000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200203,CRUZEIRO DO SUL,58789000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200252,EPITACIOLANDIA,2650000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200302,FEIJO,6598000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200328,JORDAO,489000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200336,MANCIO LIMA,1088000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200344,MANOEL URBANO,3793000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200351,MARECHAL THAUMATURGO,2246000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200385,PLACIDO DE CASTRO,1098500
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200807,PORTO ACRE,2429500
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200393,PORTO WALTER,1592000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200401,RIO BRANCO,47667600
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200427,RODRIGUES ALVES,360000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200435,SANTA ROSA DO PURUS,607000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200500,SENA MADUREIRA,3541500
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200450,SENADOR GUIOMARD,4527500
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200609,TARAUACA,9521000
2020,REGIÃO NORTE,AC,ÓLEO DIESEL,1200708,XAPURI,1733000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2700102,AGUA BRANCA,579000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2700201,ANADIA,285000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2700300,ARAPIRACA,28500500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2700409,ATALAIA,5042500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2700508,BARRA DE SANTO ANTONIO,315000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2700607,BARRA DE SAO MIGUEL,923500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2700706,BATALHA,2106500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2700805,BELEM,222000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2701001,BOCA DA MATA,1733000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2701100,BRANQUINHA,18500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2701209,CACIMBINHAS,755000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2701308,CAJUEIRO,139000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2701357,CAMPESTRE,10000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2701407,CAMPO ALEGRE,7770500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2701506,CAMPO GRANDE,217000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2701605,CANAPI,886500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2701704,CAPELA,244000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2701803,CARNEIROS,50000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2701902,CHA PRETA,85000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2702009,COITE DO NOIA,310000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2702108,COLONIA LEOPOLDINA,815500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2702306,CORURIPE,12195500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2702355,CRAIBAS,6379000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2702405,DELMIRO GOUVEIA,3295000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2702504,DOIS RIACHOS,354000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2702553,ESTRELA DE ALAGOAS,1049000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2702603,FEIRA GRANDE,392000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2702702,FELIZ DESERTO,325000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2702801,FLEXEIRAS,40000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2702900,GIRAU DO PONCIANO,1459000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2703007,IBATEGUARA,376000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2703106,IGACI,866500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2703205,IGREJA NOVA,3123500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2703304,INHAPI,1039000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2703403,JACARE DOS HOMENS,180000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2703502,JACUIPE,17500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2703601,JAPARATINGA,337000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2703700,JARAMATAIA,360000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2703759,JEQUIA DA PRAIA,430000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2703809,JOAQUIM GOMES,460000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2703908,JUNDIA,127000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2704005,JUNQUEIRO,4085000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2704104,LAGOA DA CANOA,689500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2704203,LIMOEIRO DE ANADIA,712500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2704302,MACEIO,94383000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2704401,MAJOR ISIDORO,1073500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2704500,MARAGOGI,1606535
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2704609,MARAVILHA,222000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2704708,MARECHAL DEODORO,7431001
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2704807,MARIBONDO,2045000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2705002,MATA GRANDE,659500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2705101,MATRIZ DE CAMARAGIBE,2315500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2705200,MESSIAS,1655000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2705309,MINADOR DO NEGRAO,325500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2705408,MONTEIROPOLIS,235000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2705507,MURICI,1018500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2705606,NOVO LINO,452500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2705705,OLHO D'AGUA DAS FLORES,2155000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2705804,OLHO D'AGUA DO CASADO,187500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2705903,OLHO D'AGUA GRANDE,10000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2706000,OLIVENCA,342500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2706109,OURO BRANCO,293500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2706307,PALMEIRA DOS INDIOS,6154000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2706406,PAO DE ACUCAR,740000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2706422,PARICONHA,110000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2706448,PARIPUEIRA,450500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2706505,PASSO DE CAMARAGIBE,238500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2706604,PAULO JACINTO,412000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2706703,PENEDO,2851000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2706802,PIACABUCU,899000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2706901,PILAR,7142000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2707107,PIRANHAS,1720500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2707206,POCO DAS TRINCHEIRAS,751000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2707305,PORTO CALVO,2080000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2707404,PORTO DE PEDRAS,465000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2707503,PORTO REAL DO COLEGIO,508000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2707602,QUEBRANGULO,67500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2707701,RIO LARGO,36796500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2707800,ROTEIRO,5000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2708006,SANTANA DO IPANEMA,4212848
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2708105,SANTANA DO MUNDAU,132500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2708303,SAO JOSE DA LAJE,4628000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2708402,SAO JOSE DA TAPERA,2495000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2708501,SAO LUIS DO QUITUNDE,5919500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2708600,SAO MIGUEL DOS CAMPOS,23031700
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2708709,SAO MIGUEL DOS MILAGRES,312000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2708808,SAO SEBASTIAO,13531500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2708907,SATUBA,3144500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2708956,SENADOR RUI PALMEIRA,370000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2709103,TAQUARANA,1167500
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2709152,TEOTONIO VILELA,5156000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2709202,TRAIPU,70000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2709301,UNIAO DOS PALMARES,4075000
2020,REGIÃO NORDESTE,AL,ÓLEO DIESEL,2709400,VICOSA,1907498
